CustomerID,Lookalikes
C0001,"[('C0086', 0.9966), ('C0189', 0.9948), ('C0055', 0.994)]"
C0002,"[('C0199', 0.9982), ('C0010', 0.998), ('C0033', 0.9799)]"
C0003,"[('C0178', 0.9996), ('C0036', 0.9786), ('C0035', 0.9761)]"
C0004,"[('C0101', 0.9971), ('C0156', 0.9964), ('C0108', 0.996)]"
C0005,"[('C0073', 0.9997), ('C0159', 0.9993), ('C0112', 0.9974)]"
C0006,"[('C0079', 1.0), ('C0196', 0.992), ('C0158', 0.9816)]"
C0007,"[('C0080', 0.9929), ('C0078', 0.9917), ('C0042', 0.9856)]"
C0008,"[('C0109', 0.9709), ('C0147', 0.9419), ('C0093', 0.9403)]"
C0009,"[('C0077', 0.9998), ('C0083', 0.9969), ('C0060', 0.9835)]"
C0010,"[('C0002', 0.998), ('C0199', 0.9924), ('C0009', 0.9824)]"
C0011,"[('C0114', 0.9984), ('C0183', 0.9906), ('C0016', 0.9878)]"
C0012,"[('C0155', 0.9978), ('C0065', 0.9935), ('C0165', 0.9932)]"
C0013,"[('C0126', 0.9926), ('C0105', 0.9919), ('C0087', 0.9915)]"
C0014,"[('C0058', 0.9964), ('C0151', 0.9957), ('C0128', 0.9937)]"
C0015,"[('C0095', 0.992), ('C0144', 0.9891), ('C0186', 0.9873)]"
C0016,"[('C0183', 0.9998), ('C0064', 0.9955), ('C0114', 0.9918)]"
C0017,"[('C0162', 0.9998), ('C0113', 0.9998), ('C0093', 0.9898)]"
C0018,"[('C0187', 0.9999), ('C0148', 0.9992), ('C0138', 0.999)]"
C0019,"[('C0134', 0.9112), ('C0038', 0.9075), ('C0069', 0.8569)]"
C0020,"[('C0110', 0.9997), ('C0042', 0.9979), ('C0176', 0.9971)]"
